Name,Time,Cumulative PnL
AS,2019-Jan-30 16:28:07.374930,124825.9164
AS,2019-Jan-30 16:29:08.689469,115006.0408
AS,2019-Jan-30 16:30:09.319130,119891.2784
AS,2019-Jan-30 16:31:10.937556,107506.28
AS,2019-Jan-30 16:32:12.128494,117419.4376
AS,2019-Jan-30 16:33:13.952155,109916.5332
AS,2019-Jan-30 16:34:14.358628,109898.3428
AS,2019-Jan-30 16:35:15.793950,132544.6716
AS,2019-Jan-30 16:36:17.860814,124910.22
AS,2019-Jan-30 16:37:18.766589,99342.87519
AS,2019-Jan-30 16:38:21.063885,99310.69239
AS,2019-Jan-30 16:39:21.737414,73343.93239
AS,2019-Jan-30 16:40:22.111162,122914.6404
AS,2019-Jan-30 16:41:24.205550,112386.702
AS,2019-Jan-30 16:42:26.189336,125537.2896
AS,2019-Jan-30 16:43:27.259831,152061.9328
AS,2019-Jan-30 16:44:29.990618,157377.4668
AS,2019-Jan-30 16:45:30.474368,178786.374
AS,2019-Jan-30 16:46:31.035254,176064.5688
AS,2019-Jan-30 16:47:31.479264,184172.182
AS,2019-Jan-30 16:48:33.660790,159620.138
AS,2019-Jan-30 16:49:34.984093,165042.9524
AS,2019-Jan-30 16:50:38.369257,164982.2456
AS,2019-Jan-30 16:51:42.096282,151057.8092
AS,2019-Jan-30 16:52:42.336272,170508.6796
AS,2019-Jan-30 16:53:42.827283,201226.8568
AS,2019-Jan-30 16:54:45.246799,192773.1512
AS,2019-Jan-30 16:55:45.766198,206816.8252
AS,2019-Jan-30 16:56:47.277231,198333.24
AS,2019-Jan-30 16:57:49.022607,206810.8652
AS,2019-Jan-30 16:58:50.620142,215293.282
AS,2019-Jan-30 16:59:53.144773,220969.6044
AS,2019-Jan-30 17:00:57.515194,220930.6864
AS,2019-Jan-30 17:01:58.168928,218033.862
AS,2019-Jan-30 17:02:58.832672,272671.1932
AS,2019-Jan-30 17:04:00.156545,263949.044
AS,2019-Jan-30 17:05:01.231376,263925.8516
AS,2019-Jan-30 17:06:03.078777,249318.7592
AS,2019-Jan-30 17:07:04.479310,249288.8408
AS,2019-Jan-30 17:08:07.288984,258049.962
AS,2019-Jan-30 17:09:09.213778,278581.384
AS,2019-Jan-30 17:10:10.652395,278569.7116
AS,2019-Jan-30 17:11:13.631826,287396.3748
AS,2019-Jan-30 17:12:15.014979,293290.562
AS,2019-Jan-30 17:13:16.446265,287329.414
AS,2019-Jan-30 17:14:17.145505,293259.1468
AS,2019-Jan-30 17:15:20.522814,299224.782
AS,2019-Jan-30 17:16:22.893913,308178.166
AS,2019-Jan-30 17:17:24.186848,323130.882
AS,2019-Jan-30 17:18:27.059072,338087.75
AS,2019-Jan-30 17:19:29.044334,323021.2972
AS,2019-Jan-30 17:20:30.747216,338102.838
AS,2019-Jan-30 17:21:31.470204,353252.8664
AS,2019-Jan-30 17:22:32.628225,359324.9532
AS,2019-Jan-30 17:23:34.334445,319455.6188
AS,2019-Jan-30 17:24:36.181052,300928.9356
AS,2019-Jan-30 17:25:37.477070,291596.3792
AS,2019-Jan-30 17:26:38.508318,285336.3876
AS,2019-Jan-30 17:27:40.267983,275887.5472
AS,2019-Jan-30 17:28:42.612183,275831.3324
AS,2019-Jan-30 17:29:43.458163,294722.9136
AS,2019-Jan-30 17:30:43.738492,285223.842
AS,2019-Jan-30 17:31:45.070893,285207.2956
AS,2019-Jan-30 17:32:47.001445,253313.9148
AS,2019-Jan-30 17:33:48.600497,246869.7668
AS,2019-Jan-30 17:34:50.946224,240404.6496
AS,2019-Jan-30 17:35:51.471289,220949.7796
AS,2019-Jan-30 17:36:53.606647,207923.2428
AS,2019-Jan-30 17:37:55.369974,224234.0604
AS,2019-Jan-30 17:39:00.581295,224215.3868
AS,2019-Jan-30 17:40:01.646605,230776.0108
AS,2019-Jan-30 17:41:05.926639,237343.828
AS,2019-Jan-30 17:42:06.786035,191026.9168
AS,2019-Jan-30 17:43:09.859342,200958.68
AS,2019-Jan-30 17:44:13.285448,180964.9696
AS,2019-Jan-30 17:45:14.923238,197650.2912
AS,2019-Jan-30 17:46:17.639001,187561.4484
AS,2019-Jan-30 17:47:19.139281,197623.646
AS,2019-Jan-30 17:48:20.603237,204318.882
AS,2019-Jan-30 17:49:24.290991,221162.5792
AS,2019-Jan-30 17:50:28.595312,231261.1636
AS,2019-Jan-30 17:51:31.574715,237998.3384
AS,2019-Jan-30 17:52:33.711435,248149.244
AS,2019-Jan-30 17:53:40.142913,237969.898
AS,2019-Jan-30 17:54:41.062096,214114.8552
AS,2019-Jan-30 17:55:45.110459,179852.5612
AS,2019-Jan-30 17:56:47.625421,203812.6044
AS,2019-Jan-30 17:57:50.778934,210654.3796
AS,2019-Jan-30 17:58:52.604848,203760.7912
AS,2019-Jan-30 17:59:56.750738,200294.1376
AS,2019-Jan-30 18:00:57.219481,186440.2088
AS,2019-Jan-30 18:02:00.005071,200269.3752
AS,2019-Jan-30 18:03:04.902454,200252.9688
AS,2019-Jan-30 18:04:11.469006,196770.35
AS,2019-Jan-30 18:05:16.344402,207184.0204
AS,2019-Jan-30 18:06:16.794842,214088.7224
AS,2019-Jan-30 18:07:20.665224,231488.968
AS,2019-Jan-30 18:08:22.764630,214040.236
AS,2019-Jan-30 18:09:25.250565,241964.6076
AS,2019-Jan-30 18:10:30.754963,231439.1008
AS,2019-Jan-30 18:11:33.634723,234916.8744
AS,2019-Jan-30 18:12:34.576914,248946.7876
AS,2019-Jan-30 18:13:40.112822,220773.9844
AS,2019-Jan-30 18:14:43.349992,217241.3832
AS,2019-Jan-30 18:15:45.861058,213707.394
AS,2019-Jan-30 18:16:50.441594,213692.028
AS,2019-Jan-30 18:17:53.377188,217218.5824
AS,2019-Jan-30 18:18:57.357534,195879.2548
AS,2019-Jan-30 18:19:58.015508,185141.7952
AS,2019-Jan-30 18:20:58.591539,141971.456
AS,2019-Jan-30 18:21:59.255249,163635.3504
AS,2019-Jan-30 18:23:00.095245,123697.0068
AS,2019-Jan-30 18:24:02.803737,134611.5372
AS,2019-Jan-30 18:25:04.967874,134573.1684
AS,2019-Jan-30 18:26:06.609722,145524.8124
AS,2019-Jan-30 18:27:07.199748,145513.592
AS,2019-Jan-30 18:28:10.051582,134502.3652
AS,2019-Jan-30 18:29:12.216677,141829.8388
AS,2019-Jan-30 18:30:12.944888,138135.162
AS,2019-Jan-30 18:31:14.077150,163880.3324
AS,2019-Jan-30 18:32:17.313967,149127.152
AS,2019-Jan-30 18:33:18.285016,160180.3484
AS,2019-Jan-30 18:34:20.000271,149078.132
AS,2019-Jan-30 18:35:24.919685,141652.904
AS,2019-Jan-30 18:36:26.920179,145348.8596
AS,2019-Jan-30 18:37:32.966627,149033.2676
AS,2019-Jan-30 18:38:34.204868,156445.1552
AS,2019-Jan-30 18:39:36.802338,148978.3812
AS,2019-Jan-30 18:40:38.324633,160155.8387
AS,2019-Jan-30 18:41:39.219328,148945.6399
AS,2019-Jan-30 18:42:42.236604,126447.7968
AS,2019-Jan-30 18:43:43.613444,130191.5968
