Name,Time,Cumulative PnL
OfiStrategy,2022-May-02 15:15:24.062988,548557.494099
OfiStrategy,2022-May-02 15:16:24.235066,539604.694099
OfiStrategy,2022-May-02 15:17:24.282212,529496.694099
OfiStrategy,2022-May-02 15:18:24.393701,524298.294099
OfiStrategy,2022-May-02 15:19:24.404062,529929.894099
OfiStrategy,2022-May-02 15:20:24.532772,526319.894099
OfiStrategy,2022-May-02 15:21:24.567896,526464.294099
OfiStrategy,2022-May-02 15:22:24.656315,532384.694099
OfiStrategy,2022-May-02 15:23:24.787002,535417.094099
OfiStrategy,2022-May-02 15:24:24.890995,530363.094099
OfiStrategy,2022-May-02 15:25:24.915258,525597.894099
OfiStrategy,2022-May-02 15:26:24.956267,538738.294099
OfiStrategy,2022-May-02 15:27:25.010978,524009.494099
OfiStrategy,2022-May-02 15:28:25.196295,525020.294099
OfiStrategy,2022-May-02 15:29:25.314584,525164.694099
OfiStrategy,2022-May-02 15:30:25.414043,528630.294099
OfiStrategy,2022-May-02 15:31:25.472506,522854.294099
OfiStrategy,2022-May-02 15:32:25.558765,521265.894099
OfiStrategy,2022-May-02 15:33:25.615729,531373.894099
OfiStrategy,2022-May-02 15:34:25.869953,539460.294099
OfiStrategy,2022-May-02 15:35:25.997081,533395.494099
OfiStrategy,2022-May-02 15:36:26.050767,539604.694099
OfiStrategy,2022-May-02 15:37:26.206584,543070.294099
OfiStrategy,2022-May-02 15:38:26.670921,542925.894099
OfiStrategy,2022-May-02 15:39:26.735429,524442.694099
OfiStrategy,2022-May-02 15:40:26.819589,527908.294099
OfiStrategy,2022-May-02 15:41:26.901766,531085.094099
OfiStrategy,2022-May-02 15:42:26.984590,519244.294099
OfiStrategy,2022-May-02 15:43:27.174017,525453.494099
OfiStrategy,2022-May-02 15:44:27.257136,533251.094099
OfiStrategy,2022-May-02 15:45:27.320173,525597.894099
OfiStrategy,2022-May-02 15:46:27.334748,528197.094099
OfiStrategy,2022-May-02 15:47:27.479094,537149.894099
OfiStrategy,2022-May-02 15:48:27.628994,529063.494099
OfiStrategy,2022-May-02 15:49:27.765486,530507.494099
OfiStrategy,2022-May-02 15:50:27.926416,527186.294099
OfiStrategy,2022-May-02 15:51:28.091962,529785.494099
OfiStrategy,2022-May-02 15:52:28.243883,535128.294099
OfiStrategy,2022-May-02 15:53:28.365955,534550.694099
OfiStrategy,2022-May-02 15:54:28.633318,533106.694099
OfiStrategy,2022-May-02 15:55:28.774030,533828.694099
OfiStrategy,2022-May-02 15:56:28.911511,536572.294099
OfiStrategy,2022-May-02 15:57:28.996718,544658.694099
OfiStrategy,2022-May-02 15:58:29.092615,540182.294099
OfiStrategy,2022-May-02 15:59:29.191570,542059.494099
OfiStrategy,2022-May-02 16:00:29.268589,546824.694099
OfiStrategy,2022-May-02 16:01:29.317626,539749.094099
OfiStrategy,2022-May-02 16:02:29.382843,541337.494099
OfiStrategy,2022-May-02 16:03:29.759994,533828.694099
OfiStrategy,2022-May-02 16:04:29.843682,524587.094099
OfiStrategy,2022-May-02 16:05:29.958998,526897.494099
OfiStrategy,2022-May-02 16:06:30.026810,524009.494099
OfiStrategy,2022-May-02 16:07:30.029923,523143.094099
OfiStrategy,2022-May-02 16:08:30.037907,522565.494099
OfiStrategy,2022-May-02 16:09:30.046534,525453.494099
OfiStrategy,2022-May-02 16:10:30.107548,528485.894099
OfiStrategy,2022-May-02 16:11:30.172016,528774.694099
OfiStrategy,2022-May-02 16:12:30.225272,531373.894099
OfiStrategy,2022-May-02 16:13:30.355064,525742.294099
OfiStrategy,2022-May-02 16:14:30.416314,531085.094099
OfiStrategy,2022-May-02 16:15:30.470579,530507.494099
OfiStrategy,2022-May-02 16:16:30.523867,530940.694099
OfiStrategy,2022-May-02 16:17:30.586486,531807.094099
OfiStrategy,2022-May-02 16:18:30.608954,534695.094099
OfiStrategy,2022-May-02 16:19:30.900314,543214.694099
OfiStrategy,2022-May-02 16:20:31.089671,553755.894099
OfiStrategy,2022-May-02 16:21:31.101562,557077.094099
OfiStrategy,2022-May-02 16:22:31.193238,551156.694099
OfiStrategy,2022-May-02 16:23:31.275887,552167.494099
OfiStrategy,2022-May-02 16:24:31.304135,548846.294099
