OfiStrategy,2019-Jan-30 14:30:07.090500,0.000000
OfiStrategy,2019-Jan-30 14:31:07.637473,-568.364544
OfiStrategy,2019-Jan-30 14:32:08.829895,-679.285469
OfiStrategy,2019-Jan-30 14:33:09.426106,-2111.226570
OfiStrategy,2019-Jan-30 14:34:09.615772,2102.693430
OfiStrategy,2019-Jan-30 14:35:10.151375,4429.693430
OfiStrategy,2019-Jan-30 14:36:11.111589,4966.693430
OfiStrategy,2019-Jan-30 14:37:11.397669,4429.693430
OfiStrategy,2019-Jan-30 14:38:11.722256,3050.973430
OfiStrategy,2019-Jan-30 14:39:12.424850,5270.973430
OfiStrategy,2019-Jan-30 14:40:13.430313,5825.973430
OfiStrategy,2019-Jan-30 14:41:13.588333,3050.973430
OfiStrategy,2019-Jan-30 14:42:13.958034,1310.613430
OfiStrategy,2019-Jan-30 14:43:14.168802,2750.613430
OfiStrategy,2019-Jan-30 14:44:14.283568,-95.826570
OfiStrategy,2019-Jan-30 14:45:14.477771,3106.213430
OfiStrategy,2019-Jan-30 14:46:15.640547,213.373430
OfiStrategy,2019-Jan-30 14:47:16.107465,2583.373430
OfiStrategy,2019-Jan-30 14:48:17.460146,-8879.186570
OfiStrategy,2019-Jan-30 14:49:17.679118,-10943.186570
OfiStrategy,2019-Jan-30 14:50:17.907183,-7259.186570
OfiStrategy,2019-Jan-30 14:51:18.177346,-6031.186570
OfiStrategy,2019-Jan-30 14:52:18.341640,-8487.186570
OfiStrategy,2019-Jan-30 14:53:19.632846,-13399.186570
OfiStrategy,2019-Jan-30 14:54:20.727659,-8487.186570
OfiStrategy,2019-Jan-30 14:55:21.107066,1336.813430
OfiStrategy,2019-Jan-30 14:56:21.766089,-20767.186570
OfiStrategy,2019-Jan-30 14:57:22.580637,-24451.186570
OfiStrategy,2019-Jan-30 14:58:23.036622,-36368.506570
OfiStrategy,2019-Jan-30 14:59:24.072414,-36362.986570
OfiStrategy,2019-Jan-30 15:00:25.004091,-48017.866570
OfiStrategy,2019-Jan-30 15:01:25.768608,-34948.866570
OfiStrategy,2019-Jan-30 15:02:25.972144,-38682.866570
OfiStrategy,2019-Jan-30 15:03:26.121905,-76801.986570
OfiStrategy,2019-Jan-30 15:04:27.411601,-72765.986570
