Name,Time,Cumulative PnL
Sigmoid,2019-Jan-30 16:10:44.325135,-5456.658655
Sigmoid,2019-Jan-30 16:11:44.917331,-5252.187645
Sigmoid,2019-Jan-30 16:12:45.080339,-5941.267784
Sigmoid,2019-Jan-30 16:13:48.187911,-5457.435198
Sigmoid,2019-Jan-30 16:14:48.998390,-6270.189020
Sigmoid,2019-Jan-30 16:15:50.143856,-6682.517685
Sigmoid,2019-Jan-30 16:16:50.780156,-6674.401199
Sigmoid,2019-Jan-30 16:17:52.155550,-7047.595083
Sigmoid,2019-Jan-30 16:18:54.288165,-7667.778295
Sigmoid,2019-Jan-30 16:19:54.805042,-6487.808221
Sigmoid,2019-Jan-30 16:20:55.644256,-7032.848234
Sigmoid,2019-Jan-30 16:21:57.093152,-6697.183458
Sigmoid,2019-Jan-30 16:22:57.707120,-6511.210189
Sigmoid,2019-Jan-30 16:24:00.062989,-6781.867050
Sigmoid,2019-Jan-30 16:25:01.694059,-7284.467034
Sigmoid,2019-Jan-30 16:26:02.750224,-6324.074275
Sigmoid,2019-Jan-30 16:27:06.748509,-6565.143740
Sigmoid,2019-Jan-30 16:28:07.374930,-6333.233724
Sigmoid,2019-Jan-30 16:29:08.689469,-6119.938877
Sigmoid,2019-Jan-30 16:30:09.319130,-6214.687243
Sigmoid,2019-Jan-30 16:31:10.937556,-5881.952040
Sigmoid,2019-Jan-30 16:32:12.128494,-6136.221752
Sigmoid,2019-Jan-30 16:33:13.952155,-5919.840524
Sigmoid,2019-Jan-30 16:34:14.358628,-5793.800794
Sigmoid,2019-Jan-30 16:35:15.793950,-6659.657006
Sigmoid,2019-Jan-30 16:36:17.860814,-6418.419317
Sigmoid,2019-Jan-30 16:37:18.766589,-5702.545897
Sigmoid,2019-Jan-30 16:38:21.063885,-5836.516014
Sigmoid,2019-Jan-30 16:39:21.737414,-5508.359922
Sigmoid,2019-Jan-30 16:40:22.111162,-6221.750293
Sigmoid,2019-Jan-30 16:41:24.205550,-6077.057103
Sigmoid,2019-Jan-30 16:42:26.189336,-6389.108261
Sigmoid,2019-Jan-30 16:43:27.259831,-7250.132497
Sigmoid,2019-Jan-30 16:44:29.990618,-7548.701113
Sigmoid,2019-Jan-30 16:45:30.474368,-8541.264269
Sigmoid,2019-Jan-30 16:46:31.035254,-8590.922653
Sigmoid,2019-Jan-30 16:47:31.479264,-8785.758123
Sigmoid,2019-Jan-30 16:48:33.660790,-7914.150720
Sigmoid,2019-Jan-30 16:49:34.984093,-8046.322823
Sigmoid,2019-Jan-30 16:50:38.369257,-8305.107272
Sigmoid,2019-Jan-30 16:51:42.096282,-7658.234398
Sigmoid,2019-Jan-30 16:52:42.336272,-8263.380622
Sigmoid,2019-Jan-30 16:53:42.827283,-9531.225104
Sigmoid,2019-Jan-30 16:54:45.246799,-9253.299701
Sigmoid,2019-Jan-30 16:55:45.766198,-10004.999505
Sigmoid,2019-Jan-30 16:56:47.277231,-9427.855347
Sigmoid,2019-Jan-30 16:57:49.022607,-10237.235668
Sigmoid,2019-Jan-30 16:58:50.620142,-10982.774304
Sigmoid,2019-Jan-30 16:59:53.144773,-10935.033428
Sigmoid,2019-Jan-30 17:00:57.515194,-11487.002840
Sigmoid,2019-Jan-30 17:01:58.168928,-10453.180362
Sigmoid,2019-Jan-30 17:02:58.832672,-14356.536432
Sigmoid,2019-Jan-30 17:04:00.156545,-13810.222871
Sigmoid,2019-Jan-30 17:05:01.231376,-14386.918588
Sigmoid,2019-Jan-30 17:06:03.078777,-12807.937817
Sigmoid,2019-Jan-30 17:07:04.479310,-13208.404501
Sigmoid,2019-Jan-30 17:08:07.288984,-13818.050332
Sigmoid,2019-Jan-30 17:09:09.213778,-15568.158045
Sigmoid,2019-Jan-30 17:10:10.652395,-15596.782690
Sigmoid,2019-Jan-30 17:11:13.631826,-15843.811203
Sigmoid,2019-Jan-30 17:12:15.014979,-16776.457202
Sigmoid,2019-Jan-30 17:13:16.446265,-16083.788184
Sigmoid,2019-Jan-30 17:14:17.145505,-16097.029976
Sigmoid,2019-Jan-30 17:15:20.522814,-16292.699998
Sigmoid,2019-Jan-30 17:16:22.893913,-17726.830410
Sigmoid,2019-Jan-30 17:17:24.186848,-18713.987374
Sigmoid,2019-Jan-30 17:18:27.059072,-20452.081137
Sigmoid,2019-Jan-30 17:19:29.044334,-19235.068740
Sigmoid,2019-Jan-30 17:20:30.747216,-20528.280668
Sigmoid,2019-Jan-30 17:21:31.470204,-21065.719018
Sigmoid,2019-Jan-30 17:22:32.628225,-21911.260218
Sigmoid,2019-Jan-30 17:23:34.334445,-18526.048242
Sigmoid,2019-Jan-30 17:24:36.181052,-17330.892082
Sigmoid,2019-Jan-30 17:25:37.477070,-16885.494503
Sigmoid,2019-Jan-30 17:26:38.508318,-15815.481784
Sigmoid,2019-Jan-30 17:27:40.267983,-15394.104529
Sigmoid,2019-Jan-30 17:28:42.612183,-15389.524364
Sigmoid,2019-Jan-30 17:29:43.458163,-16217.063403
Sigmoid,2019-Jan-30 17:30:43.738492,-15780.031341
Sigmoid,2019-Jan-30 17:31:45.070893,-16178.517203
Sigmoid,2019-Jan-30 17:32:47.001445,-13689.869074
Sigmoid,2019-Jan-30 17:33:48.600497,-13314.877401
Sigmoid,2019-Jan-30 17:34:50.946224,-12863.334882
Sigmoid,2019-Jan-30 17:35:51.471289,-12720.398942
Sigmoid,2019-Jan-30 17:36:53.606647,-11670.536323
Sigmoid,2019-Jan-30 17:37:55.369974,-12696.445809
Sigmoid,2019-Jan-30 17:39:00.581295,-12458.311204
Sigmoid,2019-Jan-30 17:40:01.646605,-12982.520019
Sigmoid,2019-Jan-30 17:41:05.926639,-12899.752979
Sigmoid,2019-Jan-30 17:42:06.786035,-11349.895881
Sigmoid,2019-Jan-30 17:43:09.859342,-11479.616264
